INT((SUM([P bachelor and above])/[Calculation2])*100),WY,25
INT((SUM([P below middle school])/[Calculation2])*100),WY,0
INT((SUM([P high school equivalent])/[Calculation2])*100),WY,29
INT((SUM([P some college])/[Calculation2])*100),WY,39
INT((SUM([P some high school])/[Calculation2])*100),WY,4
INT((SUM([P bachelor and above])/[Calculation2])*100),WV,26
INT((SUM([P below middle school])/[Calculation2])*100),WV,1
INT((SUM([P high school equivalent])/[Calculation2])*100),WV,36
INT((SUM([P some college])/[Calculation2])*100),WV,27
INT((SUM([P some high school])/[Calculation2])*100),WV,8
INT((SUM([P bachelor and above])/[Calculation2])*100),WI,32
INT((SUM([P below middle school])/[Calculation2])*100),WI,1
INT((SUM([P high school equivalent])/[Calculation2])*100),WI,29
INT((SUM([P some college])/[Calculation2])*100),WI,31
INT((SUM([P some high school])/[Calculation2])*100),WI,5
INT((SUM([P bachelor and above])/[Calculation2])*100),WA,36
INT((SUM([P below middle school])/[Calculation2])*100),WA,2
INT((SUM([P high school equivalent])/[Calculation2])*100),WA,22
INT((SUM([P some college])/[Calculation2])*100),WA,33
INT((SUM([P some high school])/[Calculation2])*100),WA,5
INT((SUM([P bachelor and above])/[Calculation2])*100),VT,50
INT((SUM([P below middle school])/[Calculation2])*100),VT,1
INT((SUM([P high school equivalent])/[Calculation2])*100),VT,20
INT((SUM([P some college])/[Calculation2])*100),VT,24
INT((SUM([P some high school])/[Calculation2])*100),VT,2
INT((SUM([P bachelor and above])/[Calculation2])*100),VA,44
INT((SUM([P below middle school])/[Calculation2])*100),VA,2
INT((SUM([P high school equivalent])/[Calculation2])*100),VA,20
INT((SUM([P some college])/[Calculation2])*100),VA,26
INT((SUM([P some high school])/[Calculation2])*100),VA,5
INT((SUM([P bachelor and above])/[Calculation2])*100),UT,34
INT((SUM([P below middle school])/[Calculation2])*100),UT,2
INT((SUM([P high school equivalent])/[Calculation2])*100),UT,21
INT((SUM([P some college])/[Calculation2])*100),UT,36
INT((SUM([P some high school])/[Calculation2])*100),UT,5
INT((SUM([P bachelor and above])/[Calculation2])*100),TX,31
INT((SUM([P below middle school])/[Calculation2])*100),TX,6
INT((SUM([P high school equivalent])/[Calculation2])*100),TX,24
INT((SUM([P some college])/[Calculation2])*100),TX,29
INT((SUM([P some high school])/[Calculation2])*100),TX,8
INT((SUM([P bachelor and above])/[Calculation2])*100),TN,32
INT((SUM([P below middle school])/[Calculation2])*100),TN,2
INT((SUM([P high school equivalent])/[Calculation2])*100),TN,28
INT((SUM([P some college])/[Calculation2])*100),TN,29
INT((SUM([P some high school])/[Calculation2])*100),TN,7
INT((SUM([P bachelor and above])/[Calculation2])*100),SD,32
INT((SUM([P below middle school])/[Calculation2])*100),SD,1
INT((SUM([P high school equivalent])/[Calculation2])*100),SD,26
INT((SUM([P some college])/[Calculation2])*100),SD,34
INT((SUM([P some high school])/[Calculation2])*100),SD,5
INT((SUM([P bachelor and above])/[Calculation2])*100),SC,29
INT((SUM([P below middle school])/[Calculation2])*100),SC,2
INT((SUM([P high school equivalent])/[Calculation2])*100),SC,27
INT((SUM([P some college])/[Calculation2])*100),SC,31
INT((SUM([P some high school])/[Calculation2])*100),SC,8
INT((SUM([P bachelor and above])/[Calculation2])*100),RI,33
INT((SUM([P below middle school])/[Calculation2])*100),RI,3
INT((SUM([P high school equivalent])/[Calculation2])*100),RI,28
INT((SUM([P some college])/[Calculation2])*100),RI,27
INT((SUM([P some high school])/[Calculation2])*100),RI,6
INT((SUM([P bachelor and above])/[Calculation2])*100),PA,32
INT((SUM([P below middle school])/[Calculation2])*100),PA,1
INT((SUM([P high school equivalent])/[Calculation2])*100),PA,34
INT((SUM([P some college])/[Calculation2])*100),PA,24
INT((SUM([P some high school])/[Calculation2])*100),PA,6
INT((SUM([P bachelor and above])/[Calculation2])*100),OR,34
INT((SUM([P below middle school])/[Calculation2])*100),OR,2
INT((SUM([P high school equivalent])/[Calculation2])*100),OR,22
INT((SUM([P some college])/[Calculation2])*100),OR,34
INT((SUM([P some high school])/[Calculation2])*100),OR,5
INT((SUM([P bachelor and above])/[Calculation2])*100),OK,29
INT((SUM([P below middle school])/[Calculation2])*100),OK,2
INT((SUM([P high school equivalent])/[Calculation2])*100),OK,27
INT((SUM([P some college])/[Calculation2])*100),OK,32
INT((SUM([P some high school])/[Calculation2])*100),OK,7
INT((SUM([P bachelor and above])/[Calculation2])*100),OH,30
INT((SUM([P below middle school])/[Calculation2])*100),OH,1
INT((SUM([P high school equivalent])/[Calculation2])*100),OH,31
INT((SUM([P some college])/[Calculation2])*100),OH,29
INT((SUM([P some high school])/[Calculation2])*100),OH,7
INT((SUM([P bachelor and above])/[Calculation2])*100),NY,37
INT((SUM([P below middle school])/[Calculation2])*100),NY,4
INT((SUM([P high school equivalent])/[Calculation2])*100),NY,26
INT((SUM([P some college])/[Calculation2])*100),NY,24
INT((SUM([P some high school])/[Calculation2])*100),NY,7
INT((SUM([P bachelor and above])/[Calculation2])*100),NV,24
INT((SUM([P below middle school])/[Calculation2])*100),NV,5
INT((SUM([P high school equivalent])/[Calculation2])*100),NV,29
INT((SUM([P some college])/[Calculation2])*100),NV,33
INT((SUM([P some high school])/[Calculation2])*100),NV,7
INT((SUM([P bachelor and above])/[Calculation2])*100),NM,29
INT((SUM([P below middle school])/[Calculation2])*100),NM,4
INT((SUM([P high school equivalent])/[Calculation2])*100),NM,25
INT((SUM([P some college])/[Calculation2])*100),NM,32
INT((SUM([P some high school])/[Calculation2])*100),NM,8
INT((SUM([P bachelor and above])/[Calculation2])*100),NJ,39
INT((SUM([P below middle school])/[Calculation2])*100),NJ,3
INT((SUM([P high school equivalent])/[Calculation2])*100),NJ,28
INT((SUM([P some college])/[Calculation2])*100),NJ,23
INT((SUM([P some high school])/[Calculation2])*100),NJ,5
INT((SUM([P bachelor and above])/[Calculation2])*100),NH,38
INT((SUM([P below middle school])/[Calculation2])*100),NH,0
INT((SUM([P high school equivalent])/[Calculation2])*100),NH,26
INT((SUM([P some college])/[Calculation2])*100),NH,29
INT((SUM([P some high school])/[Calculation2])*100),NH,4
INT((SUM([P bachelor and above])/[Calculation2])*100),NE,39
INT((SUM([P below middle school])/[Calculation2])*100),NE,3
INT((SUM([P high school equivalent])/[Calculation2])*100),NE,22
